Name of the Pose,Description,Difficulty Level,Duration,Benefits,Ankles,Arms,Back,Calves,Chest,Core,Entire body,Feet,Glutes,Groin,Hamstrings,Hip flexors,Hips,Knees,Legs,Lower back,Shoulders,Spine,Thighs,Throat,,Ankle injury,Back injury,Carpal tunnel syndrome,Hamstring injury,Heart problems,High blood pressure,Hip flexor strain,Hip injury,Hip or knee injury,Knee injury,Low blood pressure,Lower back injury,Neck injury,Neck problems,Pregnancy,Sciatica,Shoulder injury,Wrist injury
Tadasana,A foundational standing pose that improves posture and balance.,Beginner,1-3 mins,Improves posture and balance.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vrikshasana,"A balancing pose resembling a tree, enhancing stability and focus.",Beginner,1-2 mins,Strengthens legs and improves balance.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Adho Mukha Svanasana,"Downward-facing dog pose, a full-body stretch that invigorates.",Beginner,1-3 mins,Stretches the whole body and improves circulation.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trikonasana,Triangle pose for stretching and strengthening the legs and torso.,Beginner,1-2 mins,Stretches and strengthens the legs.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Virabhadrasana I,Warrior pose that builds strength and stability.,Intermediate,1-2 mins,Strengthens legs and opens hips.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Virabhadrasana II,A powerful standing warrior pose for stamina and focus.,Intermediate,1-2 mins,Increases stamina and concentration.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Virabhadrasana III,Balancing warrior pose that challenges balance and coordination.,Intermediate,1-2 mins,Improves balance and coordination.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Utthita Parsvakonasana,Side angle pose for deep stretching and strengthening.,Intermediate,1-2 mins,Strengthens legs and stretches the side body.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Parivrtta Trikonasana,Revolved triangle pose that stretches and improves balance.,Intermediate,1-2 mins,"Stretches the legs and spine, improves balance.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Parivrtta Parsvakonasana,Revolved side angle pose for deeper stretching and strength.,Intermediate,1-2 mins,"Stretches and strengthens the legs, opens hips.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Ardha Chandrasana,Half-moon pose that improves balance and strengthens the legs.,Intermediate,1-2 mins,Improves balance and strengthens legs.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Parsvottanasana,Pyramid pose for hamstring stretch and spine flexibility.,Intermediate,1-2 mins,Stretches the hamstrings and spine.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Prasarita Padottanasana,Wide-legged forward bend for hamstring and spine stretch.,Beginner,1-2 mins,"Stretches the hamstrings and spine, calms the mind.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Padangusthasana,Forward bend holding big toes to stretch hamstrings and spine.,Beginner,1-2 mins,"Stretches the hamstrings and spine, improves digestion.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Padahastasana,Forward bend with hands under feet to deepen hamstring stretch.,Beginner,1-2 mins,"Stretches the hamstrings and spine, calms the mind.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Utkatasana,"Chair pose that strengthens legs and core, improving endurance.",Intermediate,1-2 mins,"Strengthens the legs and core, improves endurance.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Garudasana,Eagle pose for balance and concentration.,Intermediate,1-2 mins,"Improves balance and concentration, stretches shoulders.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Natarajasana,Dancer's pose that enhances balance and flexibility.,Advanced,1-2 mins,"Improves balance and flexibility, strengthens legs.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Utthita Hasta Padangusthasana,Balancing pose holding big toe for balance and flexibility.,Advanced,1-2 mins,"Improves balance and flexibility, strengthens legs.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ardha Baddha Padmottanasana,Half-bound lotus forward bend for deep stretch.,Advanced,1-2 mins,Stretches the hips and spine.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Upavistha Konasana,Wide-angle seated forward bend to stretch hamstrings and spine.,Intermediate,1-2 mins,"Stretches the hamstrings and spine, calms the mind.",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baddha Konasana,Bound angle pose that opens the hips and improves flexibility.,Beginner,1-2 mins,"Stretches the hips and groin, improves flexibility.",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Supta Baddha Konasana,Reclining bound angle pose for relaxation and hip stretch.,Beginner,1-2 mins,"Relaxes the body and mind, stretches hips.",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Virasana,Hero pose for stretching thighs and improving digestion.,Beginner,1-2 mins,"Stretches the thighs and knees, improves digestion.",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Supta Virasana,Reclining hero pose for deep thigh and spine stretch.,Intermediate,1-2 mins,"Stretches the thighs and spine, improves digestion.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gomukhasana,Cow face pose that stretches shoulders and hips.,Intermediate,1-2 mins,"Stretches the shoulders and hips, improves posture.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Bharadvajasana,Seated twist pose that enhances spine flexibility and digestion.,Intermediate,1-2 mins,"Improves flexibility and digestion, stretches spine.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Marichyasana I,Seated twist with leg bend for deeper spine stretch.,Intermediate,1-2 mins,"Improves flexibility and digestion, stretches spine.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Marichyasana III,Deeper seated twist for advanced spine flexibility.,Advanced,1-2 mins,"Improves flexibility and digestion, stretches spine.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ardha Matsyendrasana,Half spinal twist pose for improved flexibility and digestion.,Intermediate,1-2 mins,"Improves flexibility and digestion, stretches spine.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Paschimottanasana,Seated forward bend that stretches the hamstrings and spine.,Intermediate,1-3 mins,"Stretches the hamstrings and spine, calms the mind.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Purvottanasana,Reverse plank pose that strengthens arms and core.,Intermediate,1-2 mins,"Strengthens the arms and core, stretches shoulders.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Halasana,Plow pose for deep spine and shoulder stretch.,Intermediate,1-2 mins,"Stretches the spine and shoulders, calms the mind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Karnapidasana,Plow pose with knees to ears for deep stretch.,Intermediate,1-2 mins,"Stretches the spine and shoulders, calms the mind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Salamba Sarvangasana,Shoulder stand pose that improves circulation and calms the mind.,Advanced,1-3 mins,Improves circulation and calms the mind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Urdhva Padmasana,Upward lotus pose in shoulder stand for advanced flexibility.,Advanced,1-2 mins,Improves circulation and calms the mind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Pindasana,Embryo pose in shoulder stand for core strength and calmness.,Advanced,1-2 mins,Improves circulation and calms the mind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Setu Bandhasana,Bridge pose that strengthens the spine and glutes.,Intermediate,1-2 mins,"Strengthens the spine and glutes, opens chest.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Urdhva Dhanurasana,Wheel pose that strengthens the spine and opens the chest.,Advanced,1-2 mins,"Strengthens the spine and glutes, opens chest.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dhanurasana,Bow pose that stretches the front body and strengthens the back.,Intermediate,1-2 mins,Stretches the front body and strengthens the back.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bhujangasana,Cobra pose for strengthening the back and opening the chest.,Beginner,1-2 mins,Strengthens the back and opens the chest.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salabhasana,Locust pose that strengthens the back and improves posture.,Intermediate,1-2 mins,"Strengthens the back and glutes, improves posture.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Matsyasana,Fish pose for stretching the chest and throat.,Intermediate,1-2 mins,"Stretches the chest and throat, improves posture.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Padmasana,Lotus pose for meditation and flexibility in the hips.,Advanced,1-3 mins,Opens hips and enhances meditation.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Supta Padangusthasana,Reclining big toe pose for stretching hamstrings and hips.,Intermediate,1-2 mins,Stretches the hamstrings and hips.,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anantasana,Side-lying pose that improves balance and stretches the legs.,Intermediate,1-2 mins,Improves balance and stretches the legs.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Savasana,Corpse pose for deep relaxation and stress relief.,Beginner,5-10 mins,Promotes relaxation and reduces stress.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sirsasana,Headstand pose that improves circulation and strengthens the core.,Advanced,1-2 mins,Improves circulation and strengthens the core.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Viparita Karani,Legs-up-the-wall pose for relaxation and rejuvenation.,Beginner,5-10 mins,"Relieves tired legs and back, improves circulation.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navasana,Boat pose that strengthens the core and hip flexors.,Intermediate,1-2 mins,Strengthens the core and hip flexors.,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Balasana,Childâ€™s pose for relaxation and gentle stretching.,Beginner,1-3 mins,Relieves tension and stretches the back and hips.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Vasisthasana,Side plank pose that strengthens the core and arms.,Intermediate,1-2 mins,"Strengthens the core and arms, improves balance.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bakasana,Crow pose for arm strength and balance.,Advanced,1-2 mins,"Strengthens the arms and core, improves balance.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Kakasana,Crow pose variant for balance and arm strength.,Advanced,1-2 mins,"Strengthens the arms and core, improves balance.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mayurasana,Peacock pose for core strength and digestion improvement.,Advanced,1-2 mins,Strengthens the core and improves digestion.,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Chaturanga Dandasana,Four-limbed staff pose for strength and stability.,Intermediate,1-2 mins,"Strengthens the arms and core, improves stability.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Uttanasana,Standing forward bend to stretch hamstrings and spine.,Beginner,1-2 mins,"Stretches the hamstrings and spine, calms the mind.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Urdhva Mukha Svanasana,Upward-facing dog pose that opens the chest and strengthens the back.,Intermediate,1-2 mins,Strengthens the back and opens the chest.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Adho Mukha Vrksasana,Handstand pose that improves balance and core strength.,Advanced,1-2 mins,Improves balance and core strength.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Pincha Mayurasana,Forearm stand pose for balance and shoulder strength.,Advanced,1-2 mins,Strengthens the shoulders and improves balance.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Handstand,Inverted pose that enhances balance and core strength.,Advanced,1-2 mins,Enhances balance and core strength.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Forearm Stand,Forearm balance that strengthens the core and improves inversion skills.,Advanced,1-2 mins,"Strengthens the core and shoulders, improves inversion skills.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Scorpion Pose,Advanced inversion pose that improves balance and flexibility.,Advanced,1-2 mins,"Enhances balance and flexibility, strengthens the core.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Crow Pose,Arm balance that improves strength and coordination.,Advanced,1-2 mins,"Improves strength and coordination, enhances focus.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Plank Pose,Strengthening pose that targets the core and arms.,Intermediate,1-2 mins,"Strengthens the core and arms, improves stability.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Side Plank Pose,Side plank variation for core and arm strength.,Intermediate,1-2 mins,"Strengthens the core and arms, improves balance.",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Upward Facing Dog,Pose that opens the chest and strengthens the back.,Intermediate,1-2 mins,Strengthens the back and opens the chest.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Downward Facing Dog,Pose for full-body stretch and strength improvement.,Beginner,1-3 mins,Stretches the whole body and improves strength.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Child's Pose,Restorative pose for relaxation and gentle stretching.,Beginner,1-3 mins,Promotes relaxation and gently stretches the back and hips.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Corpse Pose,Final relaxation pose that calms the mind and body.,Beginner,5-10 mins,Promotes relaxation and reduces stress.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Happy Baby Pose,Pose that stretches the back and soothes the nervous system.,Beginner,1-3 mins,Soothes the nervous system and stretches the back.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
